time,high_BTC,low_BTC,open_BTC,volumefrom_BTC,volumeto_BTC,close_BTC,conversionType_BTC,conversionSymbol_BTC,high_ETH,low_ETH,open_ETH,volumefrom_ETH,volumeto_ETH,close_ETH,conversionType_ETH,conversionSymbol_ETH
2024-01-07,44496.47,43639.57,43988.33,20056.41,884154712.5,43950.84,direct,,2258.2,2207.13,2241.73,164529.0,368349920.27,2222.73,direct,
2024-01-08,47295.94,43209.8,43950.84,66057.64,3000303504.99,46988.14,direct,,2360.37,2168.41,2222.73,321740.49,729642394.88,2332.66,direct,
2024-01-09,47923.17,44889.64,46988.14,66281.93,3083632967.78,46123.0,direct,,2373.21,2231.3,2332.66,407628.13,935753315.62,2344.97,direct,
2024-01-10,47705.84,44326.32,46123.0,80226.64,3677964834.63,46667.48,direct,,2643.46,2341.51,2344.97,759673.12,1859360455.9,2584.69,direct,
2024-01-11,49054.05,45580.11,46667.48,77548.89,3638877778.74,46353.15,direct,,2690.17,2567.23,2584.69,565520.51,1478952412.93,2618.71,direct,
2024-01-12,46512.17,41454.57,46353.15,87031.78,3855256978.62,42776.42,direct,,2717.2,2455.87,2618.71,608482.23,1587803065.78,2522.11,direct,
2024-01-13,43243.47,42438.36,42776.42,23024.72,986309535.03,42839.19,direct,,2589.5,2497.1,2522.11,309808.72,789992067.14,2577.89,direct,
2024-01-14,43060.49,41702.53,42839.19,21730.6,924871801.97,41704.39,direct,,2578.65,2468.6,2577.89,219094.29,554407683.57,2470.94,direct,
2024-01-15,43325.88,41687.69,41704.39,24561.1,1046074902.52,42491.26,direct,,2551.4,2469.25,2470.94,211497.41,532405002.36,2510.12,direct,
2024-01-16,43562.19,42047.82,42491.26,36429.24,1565259395.93,43130.88,direct,,2613.41,2498.62,2510.12,260620.37,665381293.48,2586.91,direct,
2024-01-17,43183.19,42172.64,43130.88,32911.24,1403011843.2,42739.27,direct,,2592.23,2505.29,2586.91,214487.05,546139971.58,2528.09,direct,
2024-01-18,42876.35,40606.86,42739.27,45180.42,1885882508.36,41286.68,direct,,2546.7,2424.13,2528.09,300049.73,747913574.26,2468.6,direct,
2024-01-19,42151.57,40246.58,41286.68,45191.13,1864062474.18,41625.47,direct,,2501.85,2412.93,2468.6,301556.02,743840311.23,2490.05,direct,
